Task,Status,Assignee,Due,Category/Tags,Notes,Intern
Task 1,Not Started,,2025-09-01,HR,Note 1,Intern 1
Task 2,Not Started,,2025-09-02,HR,Note 2,Intern 2
Task 3,Not Started,,2025-09-03,HR,Note 3,Intern 3
Task 4,Not Started,,2025-09-04,HR,Note 4,Intern 4
Task 5,Not Started,,2025-09-05,HR,Note 5,Intern 5
Task 6,Not Started,,2025-09-06,HR,Note 6,Intern 6
Task 7,Not Started,,2025-09-07,HR,Note 7,Intern 7
Task 8,Not Started,,2025-09-08,HR,Note 8,Intern 8
Task 9,Not Started,,2025-09-09,HR,Note 9,Intern 9
Task 10,Not Started,,,HR,Note 10,Intern 10
